Modelo,1-step,1-step,1-step,1-step,2-step,2-step,2-step,2-step,3-step,3-step,3-step,3-step
,R2,COR,MAE,RMSE,R2,COR,MAE,RMSE,R2,COR,MAE,RMSE
lstm_wf,0.8131775856018066,0.9085177704298713,18406.224609375,26594.333230972345,0.6667786836624146,0.8379750282894687,25175.25,35517.3872912972,0.3913450241088867,0.7018035114694791,33680.9609375,47659.76483366237
dt_wf,0.7073145876318603,0.8571332224639534,22795.632976672616,33287.03700264203,0.5735074134858457,0.7697914891999146,25970.64976063322,40181.88841532512,0.569620298185507,0.7852662605375917,27118.781913108895,40076.71862301946
rf_wf,0.7517997811895603,0.8794874195693154,19556.552264293365,30653.19020732701,0.6043430128069663,0.7903315397830126,25460.650548803304,38702.05447442941,0.6710942208466566,0.8321807359715493,21999.234344838023,35034.9915830531
gbr_wf,0.7575010238371036,0.8779877706484815,20035.02787490725,30299.087878239738,0.5588161887354663,0.7556146504081704,27279.12012636837,40868.09404647723,0.6400089109528407,0.8092185971967011,22808.922061440368,36653.22059150284
ridge_wf,0.8373888731453087,0.9197469233418948,18167.30590731904,24811.31198641394,0.6954562663310725,0.8384822166165541,25519.23618714836,33954.66374430896,0.7483077136388725,0.8683317629846233,19692.40686534887,30647.93502130345
elasticnet_wf,0.8372759027394157,0.9196898563294184,18174.376116850915,24819.92903922141,0.6953362270076353,0.8384260307679484,25513.67984691764,33961.35489052552,0.7481405764911758,0.8678199803360277,19788.61251804629,30658.10926702667
poly_ridge_wf,0.8049191671740641,0.9107421333144158,19337.41380738522,27175.77264619078,0.6796370952352503,0.8373233294982033,23723.01322049897,34825.367770999095,0.3444029875010393,0.7845321830957876,27564.8173911462,49463.48914860351
knn_wf,0.730425281533489,0.8634716159167548,21579.99784988825,31945.83029338332,0.5493864644785802,0.7514150523408966,28428.49640066121,41302.53581948707,0.6264780770632563,0.8203914285104282,23964.05134159745,37335.70132185153
svr_wf,0.770487656385458,0.8906168638535329,18896.33174255989,29476.61600716323,0.5643531181779302,0.7835547778690009,26952.62921803328,40610.83367973429,0.748103725888362,0.8736665214557429,18745.245177776276,30660.352042916435
